product_id,line_id,weight,length,thickness,temperature,vibration,humidity,shift,is_defect
PRD-004,Line Alpha,46.111,40.714,4.233,27.687,5.462,58.176,3,0
PRD-001,Line Alpha,22.057,68.062,2.425,34.913,4.854,58.146,1,0
PRD-009,Line Alpha,46.905,31.764,8.762,40.84,1.943,73.445,1,1
PRD-004,Line Beta,50.985,78.391,14.914,74.73,4.093,88.118,2,1
PRD-010,Line Gamma,40.452,105.479,11.238,72.843,0.807,35.953,2,0
PRD-008,Line Alpha,29.486,62.608,15.346,32.199,2.88,66.912,3,0
PRD-003,Line Gamma,41.209,71.085,5.917,54.67,2.309,84.777,3,0
PRD-011,Line Alpha,22.536,18.371,7.047,40.081,1.914,86.004,3,0
PRD-016,Line Beta,52.695,82.499,4.286,30.472,5.491,57.728,3,0
PRD-019,Line Beta,28.652,119.719,4.213,57.014,5.564,80.277,1,0
PRD-014,Line Gamma,14.922,55.07,17.938,59.684,7.006,80.255,1,0
PRD-004,Line Gamma,52.7,93.842,14.298,45.513,2.466,31.071,1,0
PRD-009,Line Gamma,47.05,68.307,3.703,66.898,6.139,55.536,1,1
PRD-006,Line Gamma,55.861,111.856,16.696,64.921,3.774,27.831,2,0
PRD-010,Line Alpha,14.665,107.191,17.151,26.424,3.756,24.845,3,0
PRD-005,Line Gamma,33.863,72.729,6.241,85.432,3.335,34.826,3,0
PRD-007,Line Gamma,26.339,119.491,12.398,52.858,3.968,28.47,1,1
PRD-001,Line Gamma,37.48,76.786,2.115,73.088,0.894,24.718,1,0
PRD-003,Line Gamma,22.948,85.243,5.428,29.923,6.768,59.973,2,0
PRD-016,Line Beta,20.759,25.178,8.897,51.768,3.629,71.035,3,0
PRD-004,Line Alpha,30.521,50.627,15.787,38.649,1.774,51.403,2,0
PRD-015,Line Alpha,52.226,22.915,14.928,84.198,1.156,65.65,3,0
PRD-003,Line Alpha,19.65,65.992,5.42,50.078,0.893,46.528,2,0
PRD-015,Line Beta,31.458,115.518,17.927,61.683,5.313,30.836,2,0
PRD-002,Line Gamma,45.844,21.401,7.018,23.761,3.694,84.357,3,1
PRD-017,Line Alpha,51.162,22.195,3.087,84.636,3.205,85.912,3,1
PRD-020,Line Alpha,40.492,59.019,11.339,59.209,6.763,34.298,3,0
PRD-009,Line Beta,18.02,82.778,9.316,89.676,6.769,20.652,3,0
PRD-004,Line Alpha,36.731,68.118,4.119,46.176,0.961,37.1,2,0
PRD-018,Line Gamma,25.916,118.305,14.914,59.671,4.975,58.822,3,0
PRD-005,Line Beta,17.31,26.239,10.852,40.426,4.552,70.233,1,0
PRD-009,Line Gamma,34.472,110.06,15.538,26.922,3.338,39.368,1,0
PRD-005,Line Gamma,57.071,31.966,9.069,72.925,4.258,27.831,3,0
PRD-018,Line Alpha,50.391,76.164,4.37,29.558,2.565,82.929,1,0
PRD-007,Line Gamma,23.478,25.793,14.482,86.31,3.223,63.446,1,0
PRD-008,Line Alpha,56.905,100.131,16.103,21.859,5.435,43.253,2,0
PRD-008,Line Beta,19.323,88.634,8.121,22.904,3.654,33.97,2,0
PRD-008,Line Alpha,13.089,35.279,7.252,84.826,6.978,39.539,3,0
PRD-018,Line Beta,55.205,27.111,17.526,33.393,6.949,38.583,1,0
PRD-012,Line Gamma,48.176,60.821,17.748,28.673,6.527,33.306,1,0
PRD-001,Line Gamma,54.576,71.537,13.511,75.646,4.993,45.496,1,0
PRD-011,Line Gamma,26.44,104.042,13.516,42.524,2.572,48.588,2,0
PRD-018,Line Alpha,20.825,84.818,8.066,76.11,1.666,59.837,2,0
PRD-001,Line Beta,25.198,60.138,11.28,69.103,3.615,50.951,1,0
PRD-006,Line Gamma,15.901,69.122,12.127,45.139,5.983,72.58,3,0
PRD-007,Line Alpha,13.124,40.708,9.602,83.73,0.988,49.011,3,0
PRD-013,Line Beta,30.384,30.495,13.002,86.949,6.265,81.983,2,1
PRD-017,Line Beta,14.31,41.166,15.573,54.235,5.869,66.73,3,0
PRD-015,Line Gamma,49.49,108.662,8.828,88.014,3.488,31.141,2,1
PRD-008,Line Gamma,24.756,96.656,9.754,37.943,3.447,69.948,1,0
PRD-011,Line Gamma,15.707,30.837,8.129,31.46,1.933,49.041,2,0
PRD-014,Line Alpha,21.514,59.115,16.477,63.806,5.16,79.971,3,0
PRD-001,Line Beta,25.736,55.949,16.266,82.68,4.106,71.424,3,0
PRD-016,Line Alpha,24.555,65.992,8.222,70.166,5.848,70.693,2,0
PRD-020,Line Gamma,13.24,56.372,11.03,22.033,4.806,29.499,2,0
PRD-009,Line Beta,27.058,62.743,7.4,85.973,2.364,86.584,2,1
PRD-003,Line Beta,12.892,71.639,17.999,46.247,4.856,74.686,3,1
PRD-001,Line Alpha,21.171,17.14,4.438,29.467,4.985,59.478,1,0
PRD-009,Line Beta,19.718,78.761,13.967,28.59,5.989,87.53,1,0
PRD-010,Line Gamma,43.158,115.608,8.346,73.626,1.009,68.343,3,0
PRD-010,Line Gamma,39.619,27.711,17.742,78.698,2.826,49.986,2,1
PRD-011,Line Alpha,51.08,101.345,3.689,92.059,4.758,78.01,3,1
PRD-006,Line Gamma,36.0,83.298,11.855,88.971,5.69,52.541,3,0
PRD-011,Line Alpha,50.214,24.1,16.106,38.29,3.614,62.723,2,0
PRD-016,Line Beta,20.365,37.273,14.765,45.525,6.398,69.083,2,0
PRD-017,Line Alpha,15.938,90.608,9.817,76.862,5.127,65.213,2,0
PRD-001,Line Alpha,25.535,57.462,5.893,69.797,2.972,58.743,2,0
PRD-018,Line Beta,28.183,62.643,6.906,37.29,5.333,42.088,3,0
PRD-006,Line Alpha,21.954,65.841,13.593,93.246,4.015,39.81,1,0
PRD-010,Line Alpha,28.601,46.738,13.328,29.494,0.805,23.817,2,0
PRD-005,Line Gamma,51.949,66.542,15.964,63.055,3.645,50.833,1,0
PRD-009,Line Beta,17.248,21.861,9.868,63.277,5.099,30.621,3,0
PRD-003,Line Alpha,17.449,95.267,11.701,79.306,2.012,56.58,2,0
PRD-010,Line Gamma,57.541,47.065,11.936,65.722,5.459,86.331,1,0
PRD-009,Line Gamma,15.735,40.186,10.832,31.74,3.237,68.256,2,0
PRD-008,Line Beta,44.52,88.814,9.265,71.554,6.69,75.148,3,0
PRD-007,Line Beta,17.28,38.605,4.384,39.922,1.453,24.175,2,0
PRD-019,Line Beta,32.201,64.213,6.865,50.188,2.324,57.799,2,0
PRD-002,Line Beta,45.789,78.39,2.414,37.169,5.018,80.236,3,0
PRD-009,Line Gamma,13.851,94.408,9.528,68.863,6.638,32.704,3,0
PRD-016,Line Alpha,33.62,57.877,7.137,27.845,1.578,48.815,2,0
PRD-013,Line Gamma,13.688,24.246,6.038,28.694,5.676,80.544,1,0
PRD-018,Line Beta,31.009,34.696,7.788,76.733,4.69,73.199,1,0
PRD-005,Line Beta,32.153,88.316,3.943,92.986,4.579,36.751,1,1
PRD-001,Line Gamma,30.768,38.594,15.462,28.51,6.845,65.34,1,0
PRD-010,Line Gamma,44.449,58.626,9.72,55.416,3.56,30.125,1,0
